 12 35 07,03	-23 27 17,20	 12 35 06,33	-23 27 13,80	-00 00 07,85	 00 01 01,74	3.6	-8.9	 12 35 01,91	-23 27 47,21	 00 39 17,26	 13 14 19,16	02 37 06	HR4786	12 34 23.2	-23 23 48	16,9	87	1011,8	22,9	60	14,7	0,0	---		26
 15 35 19,99	 26 39 40,13	 15 35 20,05	 26 39 38,20	-00 00 07,85	 00 01 01,74	-1.8	4.3	 15 35 07,81	 26 39 08,13	-02 16 57,38	 13 18 10,42	02 40 57	HR5793	15 34 41.3	+26 42 53	16,8	87	1011,7	22,8	61	14,6	0,0	---		26
 09 09 58,21	-12 24 03,87	 09 09 59,01	-12 23 52,40	-00 00 07,85	 00 01 01,74	11.4	11.9	 09 09 52,64	-12 25 07,35	 04 24 32,12	 13 34 24,75	02 57 08	HR3636	09 09 11.5	-12 21 28	16,7	87	1011,7	22,8	61	14,5	0,0	---		26
 16 06 12,86	-19 50 00,01	 16 06 14,29	-19 49 59,00	-00 00 07,85	 00 01 01,74	4.2	19.5	 16 06 05,95	-19 50 20,10	-01 55 02,00	 14 11 03,95	03 33 42	HR5984	16 05 26.2	-19 48 20	16,6	88	1010,7	22,7	61	14,6	0,0	---		26
 13 19 40,67	-23 13 32,98	 13 19 40,23	-23 13 29,10	-00 00 07,85	 00 01 01,74	2.4	-6.7	 13 19 35,66	-23 14 05,14	 00 57 02,08	 14 16 37,74	03 39 15	HR5020	13 18 55.3	-23 10 18	16,6	88	1010,7	22,7	61	14,6	0,0	---		26
 08 55 12,89	-85 41 14,47	 08 54 20,23	-85 40 59,49	-00 00 07,85	 00 01 01,74	15.3	-58.9	 08 56 50,01	-85 42 31,24	 05 24 04,33	 14 20 54,34	03 43 30	HR3678	08 56 41.1	-85 39 47	16,5	86	1010,5	22,6	61	14,1	0,0	---		26
 18 02 03,78	 21 34 34,85	 18 02 07,04	 21 34 40,90	-00 00 07,85	 00 01 01,74	5.9	45.6	 18 01 52,42	 21 34 07,64	-03 35 05,79	 14 26 46,63	03 49 22	HR6730	18 01 30.4	+21 35 44	16,5	86	1010,5	22,6	61	14,1	0,0	---		26
 14 42 45,31	-47 25 30,07	 14 42 44,15	-47 25 22,09	-00 00 07,85	 00 01 01,74	8.4	-10.7	 14 42 44,12	-47 25 50,35	-00 08 08,87	 14 34 35,26	03 57 09	HR5469	14 41 55.8	-47 23 18	16,4	89	1010,5	22,6	61	14,6	0,0	---		26
 19 04 26,51	-68 43 12,91	 19 04 32,45	-68 43 08,49	-00 00 07,85	 00 01 01,74	4.8	33.2	 19 04 26,46	-68 43 36,19	-04 25 58,23	 14 38 28,22	04 01 01	HR7161	19 03 29.7	-68 45 19	16,3	88	1011,0	22,6	62	14,3	0,0	---		26
 19 07 09,75	-52 18 41,90	 19 07 16,83	-52 18 33,59	-00 00 07,85	 00 01 01,74	9.5	65.4	 19 07 05,47	-52 19 04,23	-04 24 07,56	 14 42 57,91	04 05 30	HR7213	19 06 19.9	-52 20 27	16,3	88	1011,0	22,6	62	14,3	0,0	---		26
 11 38 13,83	-47 47 49,35	 11 38 12,61	-47 47 37,19	-00 00 07,85	 00 01 01,74	13.1	-12.2	 11 38 14,90	-47 48 37,30	 03 08 06,49	 14 46 21,39	04 08 53	HR4476	11 37 33.9	-47 44 50	16,3	88	1011,0	22,6	62	14,3	0,0	---		26
 17 23 02,64	-67 45 37,81	 17 23 03,58	-67 45 33,59	-00 00 07,85	 00 01 01,74	4.7	6.0	 17 23 05,40	-67 45 53,08	-02 34 37,85	 14 48 27,55	04 10 59	HR6417	17 21 59.4	-67 46 14	16,3	88	1010,8	22,6	62	14,3	0,0	---		26
 14 19 24,48	-81 01 42,98	 14 19 10,58	-81 01 47,09	-00 00 07,85	 00 01 01,74	-4.8	-32.2	 14 19 59,57	-81 02 06,85	 00 30 53,07	 14 50 52,64	04 13 24	HR5303	14 18 13.8	-81 00 28	16,3	88	1010,8	22,6	62	14,3	0,0	---		26
 14 13 39,90	-10 19 23,69	 14 13 38,58	-10 19 24,60	-00 00 07,85	 00 01 01,74	0.0	-19.0	 14 13 33,02	-10 19 57,38	 00 40 48,04	 14 54 21,06	04 16 52	HR5315	14 12 53.8	-10 16 25	16,3	88	1010,8	22,6	62	14,3	0,0	---		26
 16 44 22,59	-77 30 42,39	 16 44 18,38	-77 30 43,29	-00 00 07,85	 00 01 01,74	-1.8	-13.7	 16 44 37,62	-77 30 57,20	-01 46 41,96	 14 57 55,66	04 20 26	HR6163	16 43 04.6	-77 31 03	16,2	90	1010,8	22,6	62	14,6	0,0	---		26
 17 05 39,16	-34 07 49,21	 17 05 40,17	-34 07 46,50	-00 00 07,85	 00 01 01,74	2.5	13.3	 17 05 34,02	-34 08 06,34	-01 56 47,41	 15 08 46,61	04 31 15	HR6334	17 04 49.4	-34 07 22	16,2	90	1010,1	22,5	62	14,6	0,0	---		26
 13 31 48,92	-39 27 18,78	 13 31 47,83	-39 27 11,50	-00 00 07,85	 00 01 01,74	5.9	-13.1	 13 31 47,17	-39 27 53,27	 01 40 17,87	 15 12 05,04	04 34 33	HR5089	13 31 02.7	-39 24 27	16,2	90	1010,1	22,5	62	14,6	0,0	---		26
 17 32 32,29	-26 16 21,12	 17 32 33,95	-26 16 21,00	-00 00 07,85	 00 01 01,74	0.0	22.0	 17 32 25,92	-26 16 39,53	-02 18 33,12	 15 13 52,80	04 36 20	HR6520	17 31 44.4	-26 16 11	16,2	90	1010,1	22,5	62	14,6	0,0	---		26
